frameNo: 479 | Accumulated: 3 | PTS: 108197797418 | PTSInterval: 82838000
frameNo: 482 | Accumulated: 3 | PTS: 108198296933 | PTSInterval: 49952000
frameNo: 485 | Accumulated: 2 | PTS: 108198799170 | PTSInterval: 50224000
frameNo: 487 | Accumulated: 1 | PTS: 108198964016 | PTSInterval: 16484000
frameNo: 488 | Accumulated: 1 | PTS: 108199463835 | PTSInterval: 49982000
frameNo: 489 | Accumulated: 2 | PTS: 108200296771 | PTSInterval: 83294000
frameNo: 491 | Accumulated: 1 | PTS: 108200463688 | PTSInterval: 16691000
frameNo: 492 | Accumulated: 1 | PTS: 108200963887 | PTSInterval: 50020000
frameNo: 493 | Accumulated: 1 | PTS: 108201465685 | PTSInterval: 50180000
frameNo: 494 | Accumulated: 1 | PTS: 108201963873 | PTSInterval: 49819000
frameNo: 495 | Accumulated: 2 | PTS: 108202797375 | PTSInterval: 83350000
frameNo: 497 | Accumulated: 1 | PTS: 108202964455 | PTSInterval: 16708000
frameNo: 498 | Accumulated: 3 | PTS: 108203800830 | PTSInterval: 83638000
frameNo: 501 | Accumulated: 3 | PTS: 108204329415 | PTSInterval: 52858000
frameNo: 504 | Accumulated: 3 | PTS: 108204812406 | PTSInterval: 48299000
frameNo: 507 | Accumulated: 3 | PTS: 108205315510 | PTSInterval: 50311000
frameNo: 510 | Accumulated: 3 | PTS: 108205804856 | PTSInterval: 48934000
frameNo: 513 | Accumulated: 1 | PTS: 108205964601 | PTSInterval: 15975000
frameNo: 514 | Accumulated: 1 | PTS: 108206464780 | PTSInterval: 50018000
frameNo: 515 | Accumulated: 1 | PTS: 108206964878 | PTSInterval: 50009000
frameNo: 516 | Accumulated: 1 | PTS: 108207462416 | PTSInterval: 49754000
frameNo: 517 | Accumulated: 1 | PTS: 108207963169 | PTSInterval: 50075000
frameNo: 518 | Accumulated: 1 | PTS: 108208462457 | PTSInterval: 49929000
frameNo: 519 | Accumulated: 1 | PTS: 108208965990 | PTSInterval: 50354000
frameNo: 520 | Accumulated: 1 | PTS: 108209471418 | PTSInterval: 50542000
frameNo: 521 | Accumulated: 1 | PTS: 108209961551 | PTSInterval: 49014000
frameNo: 522 | Accumulated: 1 | PTS: 108210464321 | PTSInterval: 50277000
frameNo: 523 | Accumulated: 1 | PTS: 108210962735 | PTSInterval: 49841000
frameNo: 524 | Accumulated: 1 | PTS: 108211462506 | PTSInterval: 49977000
frameNo: 525 | Accumulated: 1 | PTS: 108211964154 | PTSInterval: 50165000
frameNo: 526 | Accumulated: 1 | PTS: 108212463395 | PTSInterval: 49924000
frameNo: 527 | Accumulated: 1 | PTS: 108212962864 | PTSInterval: 49947000
frameNo: 528 | Accumulated: 1 | PTS: 108213463566 | PTSInterval: 50070000
frameNo: 529 | Accumulated: 1 | PTS: 108213964349 | PTSInterval: 50078000
frameNo: 530 | Accumulated: 1 | PTS: 108214470921 | PTSInterval: 50658000
frameNo: 531 | Accumulated: 1 | PTS: 108214963403 | PTSInterval: 49248000
frameNo: 532 | Accumulated: 1 | PTS: 108215462204 | PTSInterval: 49880000
frameNo: 533 | Accumulated: 1 | PTS: 108215963245 | PTSInterval: 50104000
frameNo: 534 | Accumulated: 1 | PTS: 108216462941 | PTSInterval: 49970000
frameNo: 535 | Accumulated: 3 | PTS: 108217297077 | PTSInterval: 83413000
frameNo: 538 | Accumulated: 3 | PTS: 108217798809 | PTSInterval: 50173000
frameNo: 541 | Accumulated: 1 | PTS: 108217963847 | PTSInterval: 16504000
frameNo: 542 | Accumulated: 1 | PTS: 108218465551 | PTSInterval: 50171000
